bid,ask
100.16,100.17
100.16,100.17
100.16,100.17
100.16,100.17
100.16,100.17
100.16,100.17
100.16,100.17
100.16,100.17
100.16,100.17
100.16,100.17
100.16,100.17
100.16,100.18
100.16,100.18
100.16,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.16,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.18
100.17,100.19
100.17,100.19
100.17,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.19
100.18,100.2
100.18,100.2
100.18,100.2
100.18,100.2
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.18,100.21
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.22
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.23
100.21,100.24
100.21,100.24
100.21,100.24
100.21,100.24
100.21,100.24
100.21,100.24
100.22,100.24
100.22,100.24
100.22,100.24
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.25
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.26
100.22,100.27
100.22,100.27
100.22,100.27
100.22,100.27
100.22,100.27
100.22,100.27
100.22,100.27
100.22,100.27
100.22,100.27
100.22,100.27
100.22,100.27
100.22,100.28
100.22,100.28
100.22,100.28
100.22,100.3
100.22,100.3
100.22,100.3
100.22,100.3
100.22,100.3
100.22,100.3
100.22,100.3
100.21,100.3
100.28,100.3
100.28,100.29
100.28,100.29
100.28,100.29
100.28,100.29
100.28,100.29
100.28,100.29
100.28,100.29
100.28,100.29
100.28,100.3
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.3,100.31
100.31,100.32
100.31,100.32
100.31,100.32
100.25,100.28
100.25,100.28
100.25,100.28
100.25,100.28
100.27,100.28
100.25,100.28
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.31,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
100.3,100.32
